Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,
97425,Crescent Lake,Oregon,OR,Klamath,43.518,-121.9495,
97426,Creswell,Oregon,OR,Lane,43.9058,-123.0284,
97427,Culp Creek,Oregon,OR,Lane,43.6579,-122.7871,
97428,Curtin,Oregon,OR,Douglas,43.7476,-123.1962,
97429,Days Creek,Oregon,OR,Douglas,42.9819,-123.1439,
97430,Deadwood,Oregon,OR,Lane,44.1462,-123.6816,
97431,Dexter,Oregon,OR,Lane,43.9217,-122.8424,
97432,Dillard,Oregon,OR,Douglas,43.1135,-123.4181,
97434,Dorena,Oregon,OR,Lane,43.7361,-122.8946,
97435,Drain,Oregon,OR,Douglas,43.6877,-123.2929,
97436,Elkton,Oregon,OR,Douglas,43.6378,-123.59,
97437,Elmira,Oregon,OR,Lane,44.0873,-123.3671,
97438,Fall Creek,Oregon,OR,Lane,43.9509,-122.6884,
97439,Florence,Oregon,OR,Lane,43.9881,-124.0993,
97440,Eugene,Oregon,OR,Lane,43.8638,-122.9988,
97441,Gardiner,Oregon,OR,Douglas,43.7857,-124.1437,
97442,Glendale,Oregon,OR,Douglas,42.7518,-123.3943,
97443,Glide,Oregon,OR,Douglas,43.2774,-122.9638,
97444,Gold Beach,Oregon,OR,Curry,42.4101,-124.3344,
97446,Harrisburg,Oregon,OR,Linn,44.2717,-123.1432,
97447,Idleyld Park,Oregon,OR,Douglas,43.2753,-122.5155,
97448,Junction City,Oregon,OR,Lane,44.1988,-123.23,
97449,Lakeside,Oregon,OR,Coos,43.5833,-124.1624,
97450,Langlois,Oregon,OR,Curry,42.9154,-124.4413,
97451,Lorane,Oregon,OR,Lane,43.829,-123.2477,
97452,Lowell,Oregon,OR,Lane,43.921,-122.7806,
97453,Mapleton,Oregon,OR,Lane,44.0312,-123.8657,
97454,Marcola,Oregon,OR,Lane,44.2064,-122.8246,
97455,Pleasant Hill,Oregon,OR,Lane,43.9458,-122.9285,
97456,Monroe,Oregon,OR,Benton,44.3245,-123.3203,
97457,Myrtle Creek,Oregon,OR,Douglas,43.0162,-123.2851,
97458,Myrtle Point,Oregon,OR,Coos,43.0667,-124.1213,
97459,North Bend,Oregon,OR,Coos,43.4327,-124.2131,
97460,Norway,Oregon,OR,Coos,43.1388,-124.1271,
97461,Noti,Oregon,OR,Lane,44.0992,-123.4684,
97462,Oakland,Oregon,OR,Douglas,43.453,-123.3558,
97463,Oakridge,Oregon,OR,Lane,43.7376,-122.4377,
97464,Ophir,Oregon,OR,Curry,42.7399,-124.5106,
97465,Port Orford,Oregon,OR,Curry,42.7572,-124.4913,
97466,Powers,Oregon,OR,Coos,42.88,-124.0709,
97467,Reedsport,Oregon,OR,Douglas,43.7104,-123.9565,
97468,Remote,Oregon,OR,Coos,43.1388,-124.1271,
97469,Riddle,Oregon,OR,Douglas,42.9389,-123.3612,
97470,Roseburg,Oregon,OR,Douglas,43.2297,-123.2343,
97471,Roseburg,Oregon,OR,Douglas,43.227,-123.5158,5
97472,Saginaw,Oregon,OR,Lane,43.8638,-122.9988,
97473,Scottsburg,Oregon,OR,Douglas,43.6765,-123.8041,
97476,Sixes,Oregon,OR,Curry,42.825,-124.4409,
97477,Springfield,Oregon,OR,Lane,44.0611,-123.0153,
97478,Springfield,Oregon,OR,Lane,44.0561,-122.9171,
97479,Sutherlin,Oregon,OR,Douglas,43.3904,-123.2974,
97480,Swisshome,Oregon,OR,Lane,44.0899,-123.8279,
97481,Tenmile,Oregon,OR,Douglas,43.114,-123.5294,
97482,Thurston,Oregon,OR,Lane,43.8638,-122.9988,
97484,Tiller,Oregon,OR,Douglas,42.9177,-122.9079,
